RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  5    M =  12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.932E+01 -3.905E+02
    1    4     1     0  ---    2  1.8E-06  6.1E-05  4.488E+02 -3.905E+02
    2    6     0     0  con    1  2.7E-01  1.6E-05  1.208E+01 -3.905E+02
    3    9     0     0  con    2  2.1E+01  1.3E-06  3.983E+01 -3.905E+02
    4   10     0     0  con    0  1.0E+00  8.9E-06  1.939E+02 -3.905E+02
    5   11     0     0  con    0  1.0E+00  2.9E-05  4.419E+02 -3.905E+02
    6   12     0     0  con    0  1.0E+00  8.5E-05  8.407E+02 -3.905E+02
    7   13     0     0  con    0  1.0E+00  2.4E-04  1.473E+03 -3.905E+02
    8   14     0     0  con    0  1.0E+00  6.3E-04  2.443E+03 -3.905E+02
    9   15     0     0  con    0  1.0E+00  1.6E-03  3.798E+03 -3.905E+02
   10   16     0     0  con    0  1.0E+00  3.5E-03  5.235E+03 -3.906E+02
   11   17     0     0  con    0  1.0E+00  5.9E-03  5.595E+03 -3.906E+02
   12   18     0     0  con    0  1.0E+00  5.7E-03  3.630E+03 -3.907E+02
   13   19     0     0  con    0  1.0E+00  1.6E-03  1.042E+03 -3.907E+02
   14   20     0     0  con    0  1.0E+00  6.4E-04  7.838E+01 -3.907E+02
   15   21     0     0  con    0  1.0E+00  3.2E-04  1.009E+01 -3.907E+02
   16   22     0     0  con    0  1.0E+00  3.4E-05  8.283E+00 -3.907E+02
   17   23     0     0  con    0  1.0E+00  5.7E-05  1.202E+01 -3.907E+02
   18   24     0     0  con    0  1.0E+00  1.2E-04  4.370E+01 -3.907E+02
   19   25     0     0  con    0  1.0E+00  1.5E-04  8.622E+01 -3.907E+02
   20   26     0     0  con    0  1.0E+00  2.6E-04  1.635E+02 -3.907E+02
   21   27     0     0  con    0  1.0E+00  3.9E-04  2.874E+02 -3.907E+02
   22   28     0     0  con    0  1.0E+00  5.9E-04  4.957E+02 -3.907E+02
   23   29     0     0  con    0  1.0E+00  8.7E-04  8.331E+02 -3.907E+02
   24   30     0     0  con    0  1.0E+00  1.4E-03  1.358E+03 -3.907E+02
   25   31     0     0  con    0  1.0E+00  2.9E-03  2.036E+03 -3.907E+02
   26   32     0     0  con    0  1.0E+00  6.1E-03  2.384E+03 -3.907E+02
   27   34     0     0  con    1  1.5E-01  2.7E-03  4.153E+03 -3.907E+02
   28   35     0     0  con    0  1.0E+00  9.2E-03  2.600E+03 -3.908E+02
   29   36     0     0  con    0  1.0E+00  7.2E-03  7.310E+02 -3.908E+02
   30   37     0     0  con    0  1.0E+00  2.2E-03  6.854E+00 -3.908E+02
   31   38     0     0  con    0  1.0E+00  5.6E-04  4.283E+01 -3.908E+02
   32   40     0     0  con    1  3.5E-01  2.1E-05  1.011E+01 -3.908E+02
   33   41     0     0  con    0  1.0E+00  9.7E-05  1.915E+00 -3.908E+02
   34   42     0     0  con    0  1.0E+00  1.2E-05  1.915E+00 -3.908E+02
   35   43     0     0  con    0  1.0E+00  3.9E-05  7.426E+00 -3.908E+02
   36   44     0     0  con    0  1.0E+00  7.2E-05  1.667E+01 -3.908E+02
   37   45     0     0  con    0  1.0E+00  8.6E-05  2.767E+01 -3.908E+02
   38   46     0     0  con    0  1.0E+00  1.6E-04  4.790E+01 -3.908E+02
   39   47     0     0  con    0  1.0E+00  2.4E-04  7.958E+01 -3.908E+02
   40   48     0     0  con    0  1.0E+00  3.8E-04  1.547E+02 -3.908E+02
   41   49     0     0  con    0  1.0E+00  8.0E-04  1.346E+02 -3.908E+02
   42   51     0     0  con    1  9.0E-03  1.7E-04  4.401E+02 -3.908E+02
   43   52     0     0  con    0  1.0E+00  8.8E-04  4.152E+02 -3.908E+02
   44   53     0     0  con    0  1.0E+00  3.9E-03  2.324E+02 -3.908E+02
   45   55     0     0  con    1  3.0E-01  2.5E-03  4.014E+02 -3.908E+02
   46   57     0     0  con    1  5.0E+00  1.1E-02  2.915E+02 -3.908E+02
   47   58     0     0  con    0  1.0E+00  2.5E-02  1.071E+01 -3.908E+02
   48   59     0     0  con    0  1.0E+00  9.0E-04  1.337E+00 -3.908E+02
   49   60     0     0  con    0  1.0E+00  5.0E-05  1.180E+00 -3.908E+02
   50   61     0     0  con    0  1.0E+00  1.5E-05  7.735E-02 -3.908E+02
   51   67     0     0  con    5  3.3E-04  2.0E-09  7.758E-02 -3.908E+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

